split,event_index,baseline_cumulative_reward,baseline_cumulative_coverage,adaptive_cumulative_reward_mean,adaptive_cumulative_reward_lower,adaptive_cumulative_reward_upper,adaptive_cumulative_coverage_mean,adaptive_cumulative_exploration_rate_mean,adaptive_celular_selection_rate_mean,adaptive_telefone_selection_rate_mean
validation,97,0,0.0,0.26666666666666666,0.0,1.0,0.14398625429553266,0.14398625429553266,0.8560137457044676,0.14398625429553266
validation,98,0,0.0,0.26666666666666666,0.0,1.0,0.14387755102040817,0.14387755102040817,0.8561224489795919,0.14387755102040817
validation,99,0,0.0,0.26666666666666666,0.0,1.0,0.14444444444444446,0.14444444444444446,0.8555555555555557,0.14444444444444446
validation,100,0,0.0,0.26666666666666666,0.0,1.0,0.14400000000000002,0.14400000000000002,0.856,0.14400000000000002
validation,101,0,0.0,0.26666666666666666,0.0,1.0,0.14290429042904293,0.14290429042904293,0.8570957095709572,0.14290429042904293
validation,102,0,0.0,0.26666666666666666,0.0,1.0,0.14183006535947715,0.14183006535947715,0.8581699346405229,0.14183006535947715
validation,103,0,0.0,0.26666666666666666,0.0,1.0,0.14045307443365695,0.14045307443365695,0.8595469255663429,0.14045307443365695
validation,104,0,0.0,0.26666666666666666,0.0,1.0,0.13974358974358977,0.13974358974358977,0.86025641025641,0.13974358974358977
validation,105,0,0.0,0.26666666666666666,0.0,1.0,0.1387301587301587,0.1387301587301587,0.8612698412698415,0.1387301587301587
validation,106,0,0.0,0.26666666666666666,0.0,1.0,0.1386792452830189,0.1386792452830189,0.8613207547169812,0.1386792452830189
validation,107,0,0.0,0.26666666666666666,0.0,1.0,0.1376947040498442,0.1376947040498442,0.8623052959501558,0.1376947040498442
validation,108,0,0.0,0.26666666666666666,0.0,1.0,0.1367283950617284,0.1367283950617284,0.8632716049382716,0.1367283950617284
validation,109,0,0.0,0.26666666666666666,0.0,1.0,0.13577981651376148,0.13577981651376148,0.8642201834862383,0.13577981651376148
validation,110,0,0.0,0.26666666666666666,0.0,1.0,0.1354545454545454,0.1354545454545454,0.8645454545454544,0.1354545454545454
validation,111,0,0.0,0.26666666666666666,0.0,1.0,0.13513513513513514,0.13513513513513514,0.8648648648648648,0.13513513513513514
validation,112,0,0.0,0.26666666666666666,0.0,1.0,0.1357142857142857,0.1357142857142857,0.8642857142857143,0.1357142857142857
validation,113,0,0.0,0.26666666666666666,0.0,1.0,0.13451327433628316,0.13451327433628316,0.8654867256637168,0.13451327433628316
validation,114,0,0.0,0.26666666666666666,0.0,1.0,0.13421052631578947,0.13421052631578947,0.8657894736842102,0.13421052631578947
validation,115,0,0.0,0.26666666666666666,0.0,1.0,0.1336231884057971,0.1336231884057971,0.8663768115942029,0.1336231884057971
validation,116,0,0.0,0.26666666666666666,0.0,1.0,0.13304597701149426,0.13304597701149426,0.8669540229885058,0.13304597701149426
validation,117,0,0.0,0.26666666666666666,0.0,1.0,0.13304843304843306,0.13304843304843306,0.8669515669515672,0.13304843304843306
validation,118,0,0.0,0.26666666666666666,0.0,1.0,0.13248587570621473,0.13248587570621473,0.8675141242937855,0.13248587570621473
validation,119,0,0.0,0.26666666666666666,0.0,1.0,0.1319327731092437,0.1319327731092437,0.8680672268907565,0.1319327731092437
validation,120,0,0.0,0.26666666666666666,0.0,1.0,0.1313888888888889,0.1313888888888889,0.8686111111111111,0.1313888888888889
validation,121,0,0.0,0.26666666666666666,0.0,1.0,0.1305785123966942,0.1305785123966942,0.8694214876033058,0.1305785123966942
validation,122,0,0.0,0.26666666666666666,0.0,1.0,0.1300546448087432,0.1300546448087432,0.8699453551912568,0.1300546448087432
validation,123,0,0.0,0.26666666666666666,0.0,1.0,0.13035230352303523,0.13035230352303523,0.8696476964769648,0.13035230352303523
validation,124,0,0.0,0.26666666666666666,0.0,1.0,0.13037634408602156,0.13037634408602156,0.8696236559139786,0.13037634408602156
validation,125,0,0.0,0.26666666666666666,0.0,1.0,0.13040000000000007,0.13040000000000007,0.8696000000000003,0.13040000000000007
